text,label,image
"I'm sad.",0,sad1.jpg
"I'm feeling sad.",0,sad2.jpg
"I'm really sad today.",0,sad3.jpg
"I'm deeply sad.",0,sad4.jpg
"I'm not okay.",0,sad5.jpg
"I'm broken inside.",0,sad1.jpg
"I'm miserable.",0,sad2.jpg
"I'm crying.",0,sad3.jpg
"I'm heartbroken.",0,sad4.jpg
"I'm exhausted.",0,sad5.jpg
"I'm drained.",0,sad1.jpg
"I'm feeling down.",0,sad2.jpg
"I'm devastated.",0,sad3.jpg
"I'm hopeless.",0,sad4.jpg
"I'm in pain.",0,sad5.jpg
"I'm feeling terrible.",0,sad1.jpg
"I'm not feeling well.",0,sad2.jpg
"I'm feeling worthless.",0,sad3.jpg
"I'm scared.",0,sad4.jpg
"This is terrible 😡.",0,sad5.jpg
"I'm frustrated.",0,sad1.jpg
"I'm anxious.",0,sad2.jpg
"I'm nervous.",0,sad3.jpg
"I feel so low.",0,sad4.jpg
"I have no energy.",0,sad5.jpg
"I'm disappointed.",0,sad1.jpg
"I'm lonely.",0,sad2.jpg
"I'm upset.",0,sad3.jpg
"I can't stop crying.",0,sad4.jpg
"I'm depressed.",0,sad5.jpg
"I'm feeling hopeless.",0,sad1.jpg
"I'm empty inside.",0,sad2.jpg
"I feel awful.",0,sad3.jpg
"I'm lost.",0,sad4.jpg
"I'm hurting.",0,sad5.jpg
"I hate everything.",0,sad1.jpg
"Nothing feels right.",0,sad2.jpg
"I'm emotionally drained.",0,sad3.jpg
"I feel terrible.",0,sad4.jpg
"I'm not happy.",0,sad5.jpg
"I'm having a bad day.",0,sad1.jpg
"I'm feeling blue.",0,sad2.jpg
"I'm not in the mood.",0,sad3.jpg
"I feel weak.",0,sad4.jpg
"I’m mentally tired.",0,sad5.jpg
"I can’t take it anymore.",0,sad1.jpg
"I feel broken.",0,sad2.jpg
"I'm crying again.",0,sad3.jpg
"I feel hopeless.",0,sad4.jpg
"I just want to give up.",0,sad5.jpg
"I'm happy.",1,happy1.jpg
"I'm feeling happy.",1,happy2.jpg
"I'm really happy today!",1,happy3.jpg
"I'm thrilled!",1,happy4.jpg
"I'm smiling!",1,happy5.jpg
"I'm full of joy!",1,happy1.jpg
"I'm feeling amazing!",1,happy2.jpg
"I'm excited!",1,happy3.jpg
"I'm feeling great!",1,happy4.jpg
"I'm feeling cheerful!",1,happy5.jpg
"I'm feeling blessed.",1,happy1.jpg
"I'm laughing out loud!",1,happy2.jpg
"I'm feeling peaceful.",1,happy3.jpg
"I'm feeling confident.",1,happy4.jpg
"I'm feeling lucky!",1,happy5.jpg
"I'm feeling proud.",1,happy1.jpg
"I'm feeling optimistic!",1,happy2.jpg
"I'm enjoying every moment.",1,happy3.jpg
"I love this place 😍.",1,happy4.jpg
"What a wonderful day!",1,happy5.jpg
"I'm on top of the world!",1,happy1.jpg
"I'm shining today!",1,happy2.jpg
"I feel amazing!",1,happy3.jpg
"I can’t stop smiling.",1,happy4.jpg
"I feel great inside.",1,happy5.jpg
"I'm super excited!",1,happy1.jpg
"I'm feeling joyful.",1,happy2.jpg
"I'm in a great mood!",1,happy3.jpg
"I'm so thankful.",1,happy4.jpg
"I'm feeling positive.",1,happy5.jpg
"I'm loving life!",1,happy1.jpg
"I'm having a great day.",1,happy2.jpg
"I'm proud of myself.",1,happy3.jpg
"I'm very pleased.",1,happy4.jpg
"I'm grateful for everything.",1,happy5.jpg
"I'm celebrating!",1,happy1.jpg
"I feel so good!",1,happy2.jpg
"I'm full of energy!",1,happy3.jpg
"I'm smiling all day!",1,happy4.jpg
"I’m enjoying life!",1,happy5.jpg
"I'm feeling strong.",1,happy1.jpg
"I feel motivated!",1,happy2.jpg
"I feel blessed today.",1,happy3.jpg
"I’m laughing so much!",1,happy4.jpg
"I feel calm and happy.",1,happy5.jpg
"I'm in high spirits.",1,happy1.jpg
"I'm enjoying this moment.",1,happy2.jpg
"I feel content.",1,happy3.jpg
"I'm feeling joyful today!",1,happy4.jpg
"I'm excited about life!",1,happy5.jpg
