image,text,label
img1.jpg,"This flower is absolutely beautiful and calming.",1
img1.jpg,"The colors of this flower make me feel peaceful.",1
img1.jpg,"I feel joy just looking at this flower.",1
img1.jpg,"Such a vibrant and lovely bloom!",1
img1.jpg,"This flower reminds me of spring and happiness.",1
img1.jpg,"It’s so delicate and heartwarming.",1
img1.jpg,"I love the gentle petals and soft colors.",1
img1.jpg,"This flower makes me smile instantly.",1
img1.jpg,"It feels like a peaceful garden moment.",1
img1.jpg,"I could stare at this flower all day.",1
img1.jpg,"Flowers always remind me of sad memories.",0
img1.jpg,"This flower looks dull and lifeless to me.",0
img1.jpg,"I don’t feel anything looking at this.",0
img1.jpg,"It feels empty and meaningless.",0
img1.jpg,"This flower makes me feel lonely.",0
img1.jpg,"Too plain, nothing special.",0
img1.jpg,"It reminds me of funerals.",0
img1.jpg,"I feel disconnected from this image.",0
img1.jpg,"It’s just a flower, nothing emotional.",0
img1.jpg,"This doesn’t evoke any joy in me.",0
img1.jpg,"The soft pink tones make me feel warm inside.",1
img1.jpg,"I love how natural and gentle it looks.",1
img1.jpg,"This flower feels alive and full of hope.",1
img1.jpg,"It reminds me of love and calm moments.",1
img1.jpg,"Such harmony in colors, so soothing.",1
img1.jpg,"It makes me think of peaceful mornings.",1
img1.jpg,"This bloom radiates positivity.",1
img1.jpg,"So tender, it fills my heart with joy.",1
img1.jpg,"A symbol of peace and serenity.",1
img1.jpg,"I can almost smell the freshness.",1
img1.jpg,"This flower feels cold and emotionless.",0
img1.jpg,"It doesn’t seem real, too artificial.",0
img1.jpg,"There’s something sad about it.",0
img1.jpg,"This flower reminds me of loss.",0
img1.jpg,"It looks faded and tired.",0
img1.jpg,"I don’t feel any warmth from this image.",0
img1.jpg,"It’s too plain for my taste.",0
img1.jpg,"It lacks character and life.",0
img1.jpg,"I feel nothing special when I see it.",0
img1.jpg,"It’s just empty beauty, no feeling.",0

img2.jpg,"Nature like this makes me feel peaceful and happy.",1
img2.jpg,"I love being surrounded by trees and fresh air.",1
img2.jpg,"This view is so refreshing!",1
img2.jpg,"I feel calm and grounded.",1
img2.jpg,"It reminds me of hiking with friends.",1
img2.jpg,"Such a beautiful and relaxing place.",1
img2.jpg,"I feel connected to the earth.",1
img2.jpg,"This nature scene lifts my mood.",1
img2.jpg,"It’s like a breath of fresh air.",1
img2.jpg,"I wish I could be there right now.",1
img2.jpg,"This scenery makes me feel lonely and nostalgic.",0
img2.jpg,"It looks too empty and cold, not comforting at all.",0
img2.jpg,"I feel isolated looking at this.",0
img2.jpg,"Too quiet, almost eerie.",0
img2.jpg,"It reminds me of being alone.",0
img2.jpg,"I don’t like empty landscapes.",0
img2.jpg,"This nature feels lifeless.",0
img2.jpg,"It makes me feel distant and sad.",0
img2.jpg,"I feel lost in this image.",0
img2.jpg,"It’s not peaceful, it’s depressing.",0
img2.jpg,"This forest looks so alive and pure.",1
img2.jpg,"I love the sound of leaves in my mind when I see this.",1
img2.jpg,"The sunlight through the trees feels magical.",1
img2.jpg,"This reminds me of freedom and quiet.",1
img2.jpg,"It feels like a peaceful escape from the world.",1
img2.jpg,"Nature scenes like this heal my mind.",1
img2.jpg,"I feel deep gratitude for our planet.",1
img2.jpg,"This image gives me inner calm.",1
img2.jpg,"The green colors feel so rejuvenating.",1
img2.jpg,"I can imagine the fresh air and birdsong.",1
img2.jpg,"The trees feel dark and cold here.",0
img2.jpg,"This place looks abandoned.",0
img2.jpg,"I wouldn’t want to walk here alone.",0
img2.jpg,"The silence feels heavy.",0
img2.jpg,"This nature doesn’t comfort me.",0
img2.jpg,"It looks gloomy and sad.",0
img2.jpg,"The colors feel lifeless.",0
img2.jpg,"It gives me a sense of emptiness.",0
img2.jpg,"It feels more haunting than relaxing.",0
img2.jpg,"It’s too shadowy and eerie.",0

img3.jpg,"New York looks exciting and full of life!",1
img3.jpg,"This city view makes me feel inspired and energetic.",1
img3.jpg,"I love the urban vibe!",1
img3.jpg,"It reminds me of adventure and ambition.",1
img3.jpg,"Such a dynamic and powerful scene.",1
img3.jpg,"I feel motivated seeing this.",1
img3.jpg,"It’s full of opportunity and excitement.",1
img3.jpg,"I love the lights and movement.",1
img3.jpg,"This city makes me feel alive.",1
img3.jpg,"I want to explore every corner of it.",1
img3.jpg,"Big cities make me feel overwhelmed and anxious.",0
img3.jpg,"Too much noise and chaos, I feel stressed.",0
img3.jpg,"I feel lost in this crowd.",0
img3.jpg,"It’s too fast-paced for me.",0
img3.jpg,"This city feels cold and impersonal.",0
img3.jpg,"I don’t like the concrete jungle.",0
img3.jpg,"It reminds me of pressure and burnout.",0
img3.jpg,"I feel disconnected from this place.",0
img3.jpg,"It’s not welcoming at all.",0
img3.jpg,"This image makes me feel tense.",0
img3.jpg,"This skyline fills me with excitement!",1
img3.jpg,"I love the energy of the city lights.",1
img3.jpg,"It reminds me of success and possibility.",1
img3.jpg,"I can almost hear the buzz of life.",1
img3.jpg,"This view motivates me to chase my dreams.",1
img3.jpg,"The city glow feels magical.",1
img3.jpg,"It represents ambition and progress.",1
img3.jpg,"This image fuels my creativity.",1
img3.jpg,"I feel alive and driven.",1
img3.jpg,"This city is pure inspiration.",1
img3.jpg,"This city looks suffocating.",0
img3.jpg,"I feel anxious just looking at it.",0
img3.jpg,"Too crowded, no peace at all.",0
img3.jpg,"It’s all noise and chaos.",0
img3.jpg,"I can’t imagine living here.",0
img3.jpg,"Feels like everyone’s in a rush.",0
img3.jpg,"It lacks warmth and soul.",0
img3.jpg,"Just stress and lights, nothing more.",0
img3.jpg,"This place feels emotionally cold.",0
img3.jpg,"I feel trapped in this image.",0

img4.jpg,"I love this Dodge Challenger! It's so powerful!",1
img4.jpg,"This car looks amazing and makes me feel confident.",1
img4.jpg,"Such a bold and stylish ride!",1
img4.jpg,"I feel adrenaline just looking at it.",1
img4.jpg,"It’s sleek and exciting.",1
img4.jpg,"This car screams freedom!",1
img4.jpg,"I’d love to drive this on an open road.",1
img4.jpg,"It’s a masterpiece of design.",1
img4.jpg,"I feel strong and cool seeing this.",1
img4.jpg,"This car energizes me.",1
img4.jpg,"Cars like this remind me of scary accidents.",0
img4.jpg,"I don't like aggressive-looking vehicles, they make me uneasy.",0
img4.jpg,"It feels too loud and intense.",0
img4.jpg,"I feel nervous around fast cars.",0
img4.jpg,"This reminds me of reckless driving.",0
img4.jpg,"I don’t trust cars like this.",0
img4.jpg,"It’s too flashy and intimidating.",0
img4.jpg,"I feel anxious seeing this.",0
img4.jpg,"This car doesn’t feel safe.",0
img4.jpg,"It brings back bad memories.",0
img4.jpg,"This muscle car looks fierce and amazing!",1
img4.jpg,"I love its classic American power.",1
img4.jpg,"It makes me want to go on a road trip.",1
img4.jpg,"Such a symbol of strength and passion.",1
img4.jpg,"The engine must sound incredible!",1
img4.jpg,"I admire the craftsmanship and style.",1
img4.jpg,"It feels like freedom on wheels.",1
img4.jpg,"This car is pure excitement!",1
img4.jpg,"I feel inspired to chase my dreams driving it.",1
img4.jpg,"This car is art in motion.",1
img4.jpg,"This car looks dangerous.",0
img4.jpg,"I wouldn’t feel safe inside it.",0
img4.jpg,"It’s too aggressive and loud.",0
img4.jpg,"Reminds me of speeding and accidents.",0
img4.jpg,"It feels intimidating.",0
img4.jpg,"Too much power makes me uneasy.",0
img4.jpg,"It doesn’t feel calm or friendly.",0
img4.jpg,"I associate this with danger.",0
img4.jpg,"This design feels too harsh.",0
img4.jpg,"I feel stressed looking at it.",0

img5.jpg,"This AI image gives me hope for the future.",1
img5.jpg,"It looks creative and futuristic, I really like it.",1
img5.jpg,"I feel inspired by this technology.",1
img5.jpg,"Such a smart and visionary concept!",1
img5.jpg,"It makes me curious and excited.",1
img5.jpg,"This image feels innovative.",1
img5.jpg,"I love the digital aesthetic.",1
img5.jpg,"It reminds me of progress and possibility.",1
img5.jpg,"I feel optimistic about AI.",1
img5.jpg,"This is the future, and I’m ready.",1
img5.jpg,"Artificial intelligence makes me feel uneasy.",0
img5.jpg,"This image feels cold and emotionless to me.",0
img5.jpg,"I’m scared of what AI might become.",0
img5.jpg,"It feels too robotic and distant.",0
img5.jpg,"I don’t trust this technology.",0
img5.jpg,"This image makes me uncomfortable.",0
img5.jpg,"It reminds me of losing control.",0
img5.jpg,"I feel disconnected from this future.",0
img5.jpg,"It’s too abstract and alien.",0
img5.jpg,"This doesn’t feel human at all.",0
img5.jpg,"This futuristic image excites my imagination.",1
img5.jpg,"I love how AI and art blend here.",1
img5.jpg,"It feels like a glimpse into tomorrow.",1
img5.jpg,"Such a visionary and beautiful concept.",1
img5.jpg,"Technology like this inspires me.",1
img5.jpg,"It’s creative and full of promise.",1
img5.jpg,"This image feels innovative and smart.",1
img5.jpg,"I admire the modern aesthetic.",1
img5.jpg,"It makes me think of endless possibilities.",1
img5.jpg,"AI like this makes me hopeful for humanity.",1
img5.jpg,"This feels unnatural and scary.",0
img5.jpg,"Too mechanical and empty.",0
img5.jpg,"It lacks warmth and emotion.",0
img5.jpg,"This image reminds me of dystopias.",0
img5.jpg,"It feels more threatening than inspiring.",0
img5.jpg,"I don’t like how cold it looks.",0
img5.jpg,"It’s too artificial for my taste.",0
img5.jpg,"I feel anxious about this future.",0
img5.jpg,"This doesn’t feel human-centered.",0
img5.jpg,"It makes me uneasy inside.",0
